order,name,parent,data_table,type,style,government_type,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
56,Assets (excluding land),Assets,Assets,total_row,,federal,Nonfinancial Assets + Financial Assets,965116,1075797,1178726,1281349,1360416,1433149,1519284,1601455,1665156,1735444,1811094,1939747,2051438,2129089,2149798,2186575,2253309,2280973,2363310,2404860,2521633,2576692,2629382,2713718,2795342,2902041,3056894,3253608,3430342,3866021,4286016,4495432,4471369,4645101,4823899,5080672,5256870,5578603
57,Liabilities & Net Worth,,Liabilities & Net Worth,data_table,expandable,federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SDR allocations,Liabilities,Liabilities & Net Worth,row,,federal,FL313111303.Q,4175,5305,5608,5254,5178,4895,5191,5945,6270,6322,6270,6823,6703,7216,6949,7189,7380,7052,6689,6719,6799,6359,6316,6481,7005,7197,7102,7234,7627,7630,55953,54958,55150,54463,54177,52358,49574,49294
59,SDR certificates,Liabilities,Liabilities & Net Worth,row,,federal,FL713014003.Q,1800,3268,3318,4218,4618,4618,4618,5018,5018,5018,8518,8518,10018,10018,8018,8018,10168,9718,9200,9200,7200,3200,2200,2200,2200,2200,2200,2200,2200,2200,5200,5200,5200,5200,5200,5200,5200,5200
60,Currency and Deposits,Liabilities,Liabilities & Net Worth,row,,federal,FL313112003.Q,10262,10925,11374,11764,12241,12739,13255,13647,14105,14574,15166,15713,16170,16433,16784,17477,18199,18866,19326,19886,20902,23181,24462,25450,26015,26673,27401,28065,27484,26742,26299,25923,25923,25923,25573,25323,25323,25322
61,Treasury Securities Held by the Public (excluding National Railroad Retirement Trust),Treasury Securities,Liabilities & Net Worth,row,,federal,FL313161100.Q,634011,704146,780156,915442,1127468,1296544,1496064,1732564,1884211,2038056,2164969,2377818,2669630,2980723,3222623,3404123,3576467,3705583,3745046,3694644,3605020,3382498,3292988,3513649,3884722,4266827,4564477,4801403,5008535,5775861,7518340,8991629,10100861,11253970,11955335,12754064,13091266,14142929
62,Treasury Securities Held by the Public via National Railroad Retirement Trust (Pension),Treasury Securities,Liabilities & Net Worth,row,,federal,FL343061133.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,1907,1506,1793,1425,1676,2446,2164,1770,1489,1438,1515,1241,1132
63,Special U.S. Treasury securities held by Federal Home Loan Bank,Treasury Securities,Liabilities & Net Worth,row,,federal,FL403061193.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Treasury Securities Held by Federal Defined Benefit Pension Plans (Pension),Treasury Securities,Liabilities & Net Worth,row,,federal,FL343061165.Q - FL34061133.Q,67607,76924,86895,98516,111500,128964,158741,186641,217841,248193,281179,314748,350634,389902,427230,463883,501617,535788,576602,616276,657468,697363,738233,773685,788146,824347,854157,888247,909027,962291,1013520,1081484,1149331,1223256,1161543,1361829,1284213,1499873
65,Treasury Securities,Debt Securities,Liabilities & Net Worth,row,,federal,FL313161105.Q,701618,781070,867051,1013958,1238968,1425508,1654805,1919205,2102052,2286249,2446148,2692566,3020264,3370625,3649853,3868006,4078084,4241371,4321648,4310920,4262488,4079861,4031221,4287334,4675606,5093081,5420140,5691443,5918987,6739828,8534306,10075277,11251962,12478715,13118316,14117408,14376720,15643934
66,Agency-Backed Securities,Debt Securities,Liabilities & Net Worth,row,,federal,FL313161703.Q,3063,2724,2445,2256,2133,2068,2028,2372,2849,12176,25342,32603,17602,18119,24654,28162,26940,27437,26089,25455,28276,27621,26960,27170,27023,24183,23636,23385,22953,23098,23202,23971,24982,24394,25098,23857,24095,24363
67,Commodity credit corporation certificates of interest,Loan participation certificates,Liabilities & Net Worth,row,,federal,FL313161773.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Other loan participation certificates,Loan participation certificates,Liabilities & Net Worth,row,,federal,FL313161763.Q,2007,1849,1725,1187,1187,1187,1187,1187,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Loan participation certificates,Debt Securities,Liabilities & Net Worth,row,,federal,FL313161785.Q,2007,1849,1725,1187,1187,1187,1187,1187,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Debt Securities,Liabilities,Liabilities & Net Worth,row,,federal,FL314122005.Q,706688,785643,871221,1017401,1242288,1428763,1658020,1922764,2105953,2298425,2471490,2725169,3037866,3388744,3674507,3896168,4105024,4268808,4347737,4336375,4290764,4107482,4058181,4314504,4702629,5117264,5443776,5714828,5941940,6762926,8557508,10099248,11276944,12503109,13143414,14141265,14400815,15668297
71,Multifamily residential mortgages,Liabilities,Liabilities & Net Worth,row,,federal,FL313165403.Q,680,572,465,353,261,152,83,40,22,20,13,10,10,8,7,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Trade Payables,Liabilities,Liabilities & Net Worth,row,,federal,FL313170005.Q,28676,29832,31209,34969,39169,47291,56180,71063,78794,86539,95893,95060,89161,85310,87373,86684,82747,83470,76869,70163,70564,80897,84292,84450,141028,171230,199592,214207,239422,284878,221311,213558,225308,236168,254473,258959,268888,282577
73,Life Insurance Reserves,Liabilities,Liabilities & Net Worth,row,,federal,FL313140003.Q,12359,12860,13473,14242,15164,16230,17282,18428,20518,20654,21790,22985,24118,25454,26941,28405,29445,30648,31763,33099,34455,35958,37155,38684,39930,40994,42055,43470,45116,46054,47239,48092,49498,50381,50357,50911,50822,51261
74,Liability due to FICO,Liabilities,Liabilities & Net Worth,row,,federal,FL313193013.Q,0,0,0,0,0,0,0,0,962,3583,7483,7437,6705,6631,6548,6640,6618,7174,4192,6700,6701,6554,6392,6203,6000,5780,5550,5296,5015,4404,4069,3704,3307,2873,2402,1888,1329,722
75,Uniform Services Retiree Health Care Fund,Retiree Health Care Funds,Liabilities & Net Worth,row,,federal,FL313195100.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18445,35864,52873,72740,92191,112726,126821,142289,161741,176113,188664,200372,205793,213482
76,Postal Services Retiree Health Benefits Fund,Retiree Health Care Funds,Liabilities & Net Worth,row,,federal,FL313195113.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25491,32293,35115,42115,43707,45347,42324,48467,45236,51495
77,Retiree Health Care Funds,Liabilities,Liabilities & Net Worth,row,,federal,FL313195105.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18445,35864,52873,72740,117682,145019,161936,184404,205448,221460,230988,248839,251029,264977
78,Postal System Savings Deposits,Liabilities,Liabilities & Net Worth,row,,federal,FL313131003.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Unfunded Pension Entitlements (i.e., not explicitly backed by assets held in pension fund account) (pension)",Liabilities,Liabilities & Net Worth,row,,federal,FL343073005.Q,526676,560974,596115,632274,668402,703789,731194,769794,801117,831973,862624,893419,923815,954739,985155,1015620,1045386,1077978,1104269,1133496,1162985,1195206,1228483,1266588,1330378,1375908,1430356,1478406,1538925,1568572,1629825,1741344,1790393,1804844,2069930,1842869,2210572,1889511
80,Other Pension Liabilities (pension),Liabilities,Liabilities & Net Worth,row,,federal,FL343061733.Q + FL343063033.Q + FL343064133.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,20078,21932,23586,23817,25446,19745,15830,15141,13916,14727,15027,15100,13959,13689
81,Liabilities,Liabilities & Net Worth,Liabilities & Net Worth,row,subtotal,federal,FL314190005.Q + FL343061733.Q + FL343063033.Q + FL343064133.Q + FL343073053.Q,1291316,1409379,1532783,1720475,1987321,2218477,2485823,2806699,3032759,3267108,3489247,3775134,4114566,4494553,4812282,5066207,5304973,5503718,5600045,5615638,5600370,5458837,5447481,5745990,6293708,6805042,7234491,7590263,7950857,8868170,10725170,12391572,13651087,14919148,15851541,16642712,17277511,18250850
82,Net Worth,Liabilities & Net Worth,Liabilities & Net Worth,row,subtotal,federal,Assets - Liabilities,-326200,-333582,-354057,-439126,-626905,-785328,-966539,-1205244,-1367603,-1531664,-1678153,-1835387,-2063128,-2365464,-2662484,-2879632,-3051664,-3222745,-3236735,-3210778,-3078737,-2882145,-2818099,-3032272,-3498366,-3903001,-4177597,-4336655,-4520515,-5002149,-6439154,-7896140,-9179718,-10274047,-11027642,-11562040,-12020641,-12672247
83,Total Liabilities and Net Worth,Liabilities & Net Worth,Liabilities & Net Worth,total_row,,federal,,965116,1075797,1178726,1281349,1360416,1433149,1519284,1601455,1665156,1735444,1811094,1939747,2051438,2129089,2149798,2186575,2253309,2280973,2363310,2404860,2521633,2576692,2629382,2713718,2795342,2902041,3056894,3253608,3430342,3866021,4286016,4495432,4471369,4645101,4823899,5080672,5256870,5578603
84,Memo:,,,data_table,memo,federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Total Pension Assets (includes defined benefit pension plans),Memo:,Memo:,row,,federal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,20078,21932,23586,23817,25446,19745,15830,15141,13916,14727,15027,15100,13959,13689
86,Total Pension Liabilities (includes defined benefit pension plans),Memo:,Memo:,row,,federal,FL344190045.Q + FL343073053.Q,594283,637898,683010,730790,779902,832753,889935,956435,1018958,1080166,1143803,1208167,1274449,1344641,1412385,1479503,1547003,1613766,1680871,1749772,1820453,1892569,1966716,2041703,2141340,2224094,2309605,2392263,2474823,2552284,2661621,2840133,2955410,3044316,3247938,3221313,3509985,3404205
87,Net Worth excluding pension assets and liabilities,Memo:,Memo:,row,,federal,Net Worth + Total Pension Liabilities - FL343061733.Q - FL343063033.Q - FL343064133.Q,268083,304316,328953,291664,152997,47425,-76604,-248809,-348645,-451498,-534350,-627220,-788679,-1020823,-1250099,-1400129,-1504661,-1608979,-1555864,-1461006,-1258284,-989576,-851383,-991999,-1377104,-1700839,-1891578,-1968209,-2071138,-2469610,-3793363,-5071148,-6238224,-7244458,-7794731,-8355827,-8524615,-9281731
