order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
64,combined,,row,Liabilities & Net Worth,Liabilities,Retiree Health Care Funds,FL313195105.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18445,35864,52873,72740,117682,145019,161936,184404,205448,221460,230988,248839,251029,264977
65,combined,,row,Liabilities & Net Worth,Liabilities,"Unfunded Pension Entitlements (i.e., not explicitly backed by assets held in pension fund account) (pension)",FL343073005.Q + FL343073053.Q + FL223073045.Q,613022,647058,679725,728951,740581,779480,791000,798437,777260,823016,854892,917583,956321,1049602,1102546,1168066,1124151,1062827,935627,780598,712213,707073,1027143,1386041,1677918,1647162,1833386,1838009,1726152,2128559,3100778,3301740,3292303,3550330,3718106,3311065,3801568,3805068
66,combined,,row,Liabilities & Net Worth,Liabilities,Other Pension Liabilities (Pension),FL343061733.Q + FL343063033.Q + FL343064133.Q + FL224190043.Q - FL223062043.Q - FL223073045.Q,145463,159718,180881,193239,243084,254485,293171,343266,411971,428051,513142,569141,640163,687374,787489,846066,1032050,1233023,1474239,1786379,2021549,2227136,2128919,2001984,1973173,2346364,2498598,2788114,3183139,3016596,2281763,2491374,2860433,2793750,3069715,3466863,3610144,3539167
67,combined,subtotal,row,Liabilities & Net Worth,Liabilities & Net Worth,Liabilities,FL314190005.Q + FL343061733.Q + FL343063033.Q + FL343064133.Q + FL343073053.Q + FL214190005.Q - FL213062003.Q + FL224190043.Q - FL223062043.Q - FL223073045.Q -  FL213062003.Q - FL213061105.Q - FL223061143.Q,1782390,1944115,2095044,2334127,2658529,2940428,3266673,3662926,3941112,4281508,4658550,5057728,5514569,6090811,6590501,6989806,7398504,7725028,7960315,8162644,8332982,8392359,8649899,9266626,10159662,11831767,12654993,13346694,14038358,15321690,17489602,19583549,21220358,22680356,23814459,24785696,25689690,26905413
68,combined,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Net Worth,Assets - Liabilities,710929,904236,1090578,1110046,978769,857576,780140,677112,692052,603740,567712,508886,335789,37776,-210349,-364165,-201321,-102850,300996,753530,1281443,1850375,1863877,1509383,938810,174786,432907,1022371,1830768,1344554,-782807,-2263406,-3087930,-3930276,-4319925,-4277022,-4581439,-5292133
69,combined,,total_row,Liabilities & Net Worth,Liabilities & Net Worth,Total Liabilities and Net Worth,,2493319,2848351,3185622,3444173,3637298,3798004,4046813,4340038,4633164,4885248,5226262,5566614,5850358,6128587,6380152,6625641,7197183,7622178,8261311,8916174,9614425,10242734,10513776,10776009,11098472,12006553,13087900,14369065,15869126,16666244,16706795,17320143,18132428,18750080,19494534,20508674,21108251,21613280
70,combined,memo,data_table,,,Memo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,combined,,row,Memo:,Memo:,Total Pension Assets (includes defined benefit pension plans),,144807,161275,180423,195243,244021,257462,292973,345606,413121,427939,507496,561166,611546,689300,774309,817773,999157,1196277,1451984,1748752,1978075,2170532,2068992,1961346,1920602,2307479,2451712,2721154,3066821,2908362,2183437,2397255,2745587,2674262,2945046,3304237,3452388,3393145
72,combined,,row,Memo:,Memo:,Total Pension Liabilities (includes defined benefit pension plans),FL344190045.Q + FL343073053.Q + FL224190043.Q,843246,907724,976711,1060403,1143926,1229524,1324100,1434144,1543092,1648742,1802814,1972105,2111553,2325089,2539715,2696230,2870231,3046374,3212058,3393303,3599261,3819879,4062887,4318816,4598312,4967807,5348944,5663796,5970292,6244655,6539159,7023631,7461708,7740992,8135843,8330784,8872909,9034043
73,combined,,row,Memo:,Memo:,Net Worth excluding pension assets and liabilities,Net Worth + Total Pension Liabilities - FL223020043.Q - FL223030045.Q - FL223034043.Q - FL222051043.Q - FL223069143.Q - FL223061743.Q - FL343061733.Q - FL223063045.Q - FL343063033.Q - FL223065043.Q - FL343064133.Q - LM223064145.Q - LM223064243.Q,1408556,1643117,1882697,1974530,1873830,1823081,1803310,1759618,1812071,1818027,1859671,1916117,1837599,1660050,1551676,1545064,1685649,1774638,2061094,2390356,2910964,3510763,3877643,3859685,3614200,2827986,3302734,3954545,4738391,4700081,3577031,2360940,1645127,1127506,891512,755633,830171,329820
